The_country_of_destination,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Palestine,,13136272.00,15031408.00,19011073.70,30827915.00,39080234.00,42089420.00,37797715.83,37774606.07,37124939.00,44584368.00
Venezuela,26049.00,36009271.31,43792528.67,2186889.09,1265878.64,49030394.59,2898012.00,1932868.00,1618964.41,2114850.61,169735708.00
Finland,30202133.00,2585388775.78,1671460740.69,2339035602.17,2551342067.77,2662156858.56,3435524984.22,2917141370.44,1614431139.89,1711080734.61,1303693768.59
Vanuatu,2254883.00,2174951.00,2744519.00,325593.00,181917888.00,49467.00,326945.00,478146.00,421455.00,77982.00,412535.00
Vietnam,3607568.60,477584244.67,608910478.17,1393309662.35,4976040323.95,8218315472.73,10023009640.33,11307402731.28,6988873453.24,6717382634.41,7801644467.75
Fiji,,375064.00,1823261.97,7247014.05,4342593.00,1936309.30,2135993.00,3397146.00,7825975.36,4665810.68,4499967.00
Cyprus,101179.00,56327417.16,65383312.15,62606874.98,69418370.86,101304131.68,97313721.43,115793659.97,104595076.12,85593000.31,124724832.00
Qatar,1917656.00,669005937.63,942087174.47,1869291259.74,3149614582.80,2476960498.58,2155530485.44,1817217915.32,1260901967.95,678990443.05,129987.00
Kyrgyzstan,21233.74,159354.38,519638.75,124208.00,120355.00,482142.00,831331.00,1312522.88,1548635.22,2268775.00,3300596.00
Kazakhstan,,115202078.44,396077116.00,18698455.00,257884621.00,43993450.02,63663123.46,92644282.23,33306882.00,93657610.00,20388085.06
New Caledonia,,74004.00,17915.00,2842.00,16440.66,68.00,121904.71,359650.65,5281.98,11651.18,28616.00
Cambodia,101670.52,9883536.16,12583596.99,21701554.12,59248190.59,70933239.72,106197452.18,239506067.74,293571794.61,260242702.01,237356349.79
Croatia,2738043.00,81264008.39,69850968.14,110765250.54,131664484.87,162626204.17,150006619.26,177741517.69,502664788.23,268607506.10,250850413.39
Canada,107076803.57,5176378877.04,5517675206.78,6129429187.58,8902444425.67,6524549704.11,6456226484.17,6459553619.10,4047284386.98,4259523273.74,6499147272.09
Cuba,,6067472.00,1345766.00,1460416.00,2534315.00,684094.00,5491508.00,7847639.00,8686190.00,8089348.00,5765542.00
Curaçao,,,,,673517.00,1282032.05,6486558.39,936035.55,1640718.97,3284089.71,1025142.24
South Korea,328413382.17,15986129423.41,17895447457.25,29108645115.81,35469046772.93,36073435425.58,33180615388.27,37569058158.23,23315030627.82,19370271577.31,15514885909.95
North Korea,47652.00,206031173.57,110244779.99,155671083.02,99518554.48,57033032.90,84535155.55,116722448.61,38534851.40,41799228.34,28662863.00
Costa Rica,65704.00,59369086.62,131657492.01,64925337.98,86438325.84,116018322.77,109888182.33,125106386.75,95524284.42,81851600.95,96079413.95
Colombia,177127.00,25415130.50,26588969.89,45974480.55,60613881.25,38041094.80,51174377.51,68770615.97,59433382.62,108767068.94,108252776.92
Democratic Republic of the Congo,,21925983.00,130619779.00,201776931.00,88798905.00,14641872.00,648637.00,5804496.00,12737931.00,456985.00,63081585.00
Republic of the Congo,179906.00,71572537.00,733086668.00,1682454095.19,2312038933.00,2468794777.48,3095827386.26,2282011887.91,1891981984.64,1986562514.76,1969094168.00
Kiribati,,354890.00,42232.00,,56098.00,,,1296.00,275602.34,7284768.00,
Kenya,3349285.00,63437857.00,82386162.21,117627985.10,137049623.00,178814629.42,205799679.21,255625247.62,275065068.72,284388436.44,329615355.21
Latvia,1219699.00,220547190.54,135882720.90,186937979.70,64618935.13,373493547.36,28690323.64,237883272.31,392130120.90,297140696.42,519727810.80
Laos,,256787.00,1367271.48,584654.00,1573353.84,637566.45,1623568.96,1589079.51,1167857.41,1777137.63,40907122.00
Lebanon,11925509.00,983147647.83,1091455647.88,1521809403.26,1733388197.12,1709921792.46,1947517124.51,1639787440.09,1468753435.38,1566426216.59,1119154337.14
Lithuania,218569.00,98465646.91,358451383.00,254193699.19,549031246.26,654074388.39,536382073.69,1047578040.14,786180977.07,732114548.07,834323476.17
Luxembourg,1556666.00,184334629.75,208598666.84,244360864.65,263263284.09,206726152.66,183227982.30,190479319.01,198219560.11,160716925.42,220495230.33
Liberia,,136882.00,659006.00,52987.00,60664019.00,330448.00,594400.75,222167.82,231293.33,262940.70,302756.12
Libya,,16063331.66,3741808.00,709433.37,121641.00,518141757.00,1668549.00,286508.00,781784.05,114221.00,27850463.00
Liechtenstein,23508.00,6722374.62,10680839.19,13338982.25,14436613.46,17854759.08,14702501.00,10464588.78,4762893.75,994244.67,2629483.49
Lesotho,,2894226.00,1275141.12,1374987.00,6631915.00,6067615.54,2492292.64,6572384.88,3928926.85,2504193.14,3661362.00
Martinique,,1035.00,22631.00,33292.00,52417.00,5307.00,6417.00,15000.00,417.00,23441.00,1525.00
Macao,42691.00,3687255.02,1857994.68,2342229.34,1881737.48,2169604.96,2010294.69,3176902.13,2741295.58,2252582.95,5065957.58
Maldives,6714.00,1955826.75,2116411.66,3131137.99,26322898.61,1803308.55,2092537.81,9461915.85,8432750.27,8726551.54,3470065.46
Malta,687536.00,70998565.89,87902492.06,84387150.00,80682511.43,127672963.46,106479119.56,141372384.48,96588828.47,208171559.49,611665728.08
Mali,2000.00,79824.00,2064141.00,581442.00,11000526.00,3969225.00,695498.85,792360.00,191937.86,678658.00,95136.00
